Question,Answers,QN_Variable,Variable_summary_text,variable_label,variable_description,Question_Order,Survey_17,Survey_15,Survey_13
"During the past 7 days, on how many days were you physically active for a total of at least 60 minutes per day?  (Add up all the time you spent in any kind of physical activity that increased your heart rate and made you breathe hard some of the time.) ","A. 0 days
B. 1 day
C. 2 days
D. 3 days
E. 4 days
F. 5 days
G. 6 days
H. 7 days",QN_ACTIVITY,Percentage of students who were physically active for a total of at least 60 minutes per day on five or more of the past 7 days,Been active 60 minutes on 5+ days past 7 days,Were physically active for 60 minutes a day for at least 5 days of the past 7 days.,8,AB,AB,AB
Combination of 2 questions,Combination of 2 questions,QN_SCREEN_COMB,Percentage of students who have 3 or more hours total screen time on average school day,Have 3+ hours/day of total screen time on average school day,Had 3 or more hours of total screen time during an average school day.,11,AB,AB,AB
"During the past 12 months, on how many sports teams did you play? (Count any teams run by your school or community groups.)","A. 0 teams
B. 1 team
C. 2 teams
D. 3 or more teams",QN_SPORT_TEAMS,Percentage of students who played on one or more sports teams during the past 12 months,Played on 1+ sports teams past 12 months,Were apart of at least one sports team in the last 12 months.,12,AB,AB,AB
"In an average week when you are in school, on how many days do you go to physical education (PE) classes?
","A. 0 days
B. 1 day
C. 2 days
D. 3 days
E. 4 days
F. 5 days",QN_PE_SCHOOL,Percentage of student who attended physical education (PE) classes on one or more days in an average week ,Attended PE class 1+ days/average week,"On an average week, attended physical education classes at least once.",15,AB,B,B
"During the past 7 days, how many times did you eat fruit? (Do not count fruit juice)","A. I did not eat fruit during the past 7 days
B. 1 to 3 times during the past 7 days
C. 4 to 6 times during the past 7 days
D. 1 time per day
E. 2 times per day
F. 3 times per day
G. 4 or more times per day",QN_FRUITS,Percentage of students who ate fruit one or more  times per day in the past seven days,Ate fruit 1+ times/day past 7 days,Ate at least one fruit in the past seven days. ,16,AB,AB,AB
"During the past 7 days, how many times did you eat vegetables?
","A. I did not eat vegetables during the past 7 days
B. 1 to 3 times during the past 7 days
C. 4 to 6 times during the past 7 days
D. 1 time per day
E. 2 times per day
F. 3 times per day
G. 4 or more times per day",QN_VEGETABLES,Percentage of students who ate vegetables one or more times per day in the past seven days,Ate vegetables 1+ times/day past 7 days,Ate at least one vegetable in the past seven days. ,18,A,AB,AB
"During the past 7 days, how many times did you drink a can, bottle, or glass of soda or pop, such as Coke, Pepsi, or Sprite?  (Do not count diet soda or diet pop.)","A. I did not drink soda or pop during the past 7 days
B. 1 to 3 times during the past 7 days
C. 4 to 6 times during the past 7 days
D. 1 time per day
E. 2 times per day
F. 3 times per day
G. 4 or more times per day",QN_SODA,"Percentage of students who drank a can, bottle, or glass of soda or pop one or more times per day during the past seven days",Drank soda 1+ times/day past 7 days,"Drank a can, bottle, or glass of soda at least once a day during the past seven days.",20,A,AB,AB
"During the past 7 days, on how many days did you eat breakfast?","A. 0 days
B. 1 day
C. 2 days
D. 3 days
E. 4 days
F. 5 days
G. 6 days
H. 7 days",QN_BREAKFAST,Percentage of students who ate breakfast on all of the past seven days,Ate breakfast on all of the past 7 days,Ate breakfast on all of the past seven days.,26,AB,AB,AB
"During the past 12 months, have you ever been bullied on school property?","A. Yes
B. No",QN_BULLY_SCHOOL,Percentage of students who had ever been bullied on school property during the past 12 months,Been bullied at school past 12 months,Been bullied on school property during the past 12 months.,28,AB,AB,AB
"During the past 12 months, have you ever been electronically bullied? (Count being bullied through texting, Instagram, Facebook, or other social media.) ","A. Yes
B. No",QN_BULLY_ELEC,Percentage of students who had ever been electronically bullied during the past 12 months,Been electronically bullied past 12 months,Been electronically bullied during the past 12 months.,29,AB,AB,AB
